"Fruits
",Calories,"Calories
from
Fat","Total Fat
(g)",Saturated Fat,Cholesterol,"Sodium
(mg)","Potassium
(mg)","Total
Carb.
(g)","Protein
(g)","Vitamin
A
(%DV)","Vitamin
C
(%DV)","Calcium
(%DV)","Iron
(%DV)"
Apple,130,0,0,,,0,260,34,1,2,8,2,2
Avocado,50,35,4.5,,,0,140,3,1,0,4,0,2
Banana,110,0,0,,,0,450,30,1,2,15,0,2
Cantaloupe,50,0,0,,,20,240,12,1,120,80,2,2
Grapefruit,60,0,0,,,0,160,15,1,35,100,4,0
Grapes,90,0,0,,,15,240,23,0,0,2,2,0
Honeydew ,50,0,0,,,30,210,12,1,2,45,2,2
Kiwifruit,90,10,1,,,0,450,20,1,2,240,4,2
Lemon,15,0,0,,,0,75,5,0,0,40,2,0
Lime,20,0,0,,,0,75,7,0,0,35,0,0
Nectarine,60,5,0.5,,,0,250,15,1,8,15,0,2
Orange,80,0,0,,,0,250,19,1,2,130,6,0
Peach,60,0,0.5,,,0,230,15,1,6,15,0,2
Pear,100,0,0,,,0,190,26,1,0,10,2,0
Pineapple,50,0,0,,,10,120,13,1,2,50,2,2
Plums,70,0,0,,,0,230,19,1,8,10,0,2
Strawberries,50,0,0,,,0,170,11,1,0,160,2,2
Sweet Cherries,100,0,0,,,0,350,26,1,2,15,2,2
Tangerine,50,0,0,,,0,160,13,1,6,45,4,0
Watermelon,80,0,0,,,0,270,21,1,30,25,2,4
